Institution,reg,Program,Exact title,Credits,Cost/credit,Tuition/costs credits,Time (years),Cost,Pathways,County,other costs,link,title
Blue Ridge ,8,AAS,Associate of Applied Science Degree  ,67,178.8," 11,979.6 ",2,,,Augusta,,https://catalog.brcc.edu/programs-study/nursing/,Associate of Applied Science Degree
Blue Ridge ,8,Career Studies Certificate,Certified Nurse Aide Bridge,28,178.8," 5,006.4 ",1,,,Augusta,,https://catalog.brcc.edu/programs-study/nursing/,
Blue Ridge ,8,Career Studies Certificate,Pre Nursing,28,178.8," 5,006.4 ",1,,,Augusta,,https://catalog.brcc.edu/programs-study/nursing/,
Dabney S. Lancaster,8,AAS,Nursing,67,157.5," 10,552.5 ",2,,,Alleghany,,https://www.dslcc.edu/sites/default/files/assets/files/PDFs/Program%20Tracking%20Sheets/20-21%20Tracking%20Sheets/Nursing.pdf,
Dabney S. Lancaster,8,Certificate,Advanced Health Care ,36,157.5," 5,670.0 ",1,,,,,https://www.dslcc.edu/sites/default/files/assets/files/PDFs/Program%20Tracking%20Sheets/20-21%20Tracking%20Sheets/Advanced%20Health%20Care.pdf,
Dabney S. Lancaster,8,Certificate,Practical Nursing,44,157.5," 6,930.0 ",1,,,,,https://www.dslcc.edu/sites/default/files/assets/files/PDFs/Program%20Tracking%20Sheets/20-21%20Tracking%20Sheets/Nursing.pdf,
Dabney S. Lancaster,8,Certificate,Certified Nurse Aide (WCG),39 sessions,," 2,325.0 ",1,,,,,https://dslcc.augusoft.net/index.cfm?method=ClassInfo.ClassInformation&int_class_id=1854&int_category_id=0&int_sub_category_id=0&int_catalog_id=0,
Dabney S. Lancaster,8,Certificate,Clinical Medical Assistant (WCG),67 sessions,," 3,210.0 ",1,,,,,https://dslcc.augusoft.net//index.cfm?method=ClassInfo.ClassInformation&int_class_id=1856&int_category_id=0&int_sub_category_id=0&int_catalog_id=0,
Dabney S. Lancaster,8,Certificate,Phlebotomy Technician with Clinical Rotation (WCG),27 sessions,," 2,325.0 ",1,,97.5 hour,,,https://dslcc.augusoft.net/index.cfm?method=ClassInfo.ClassInformation&int_class_id=1852&int_category_id=0&int_sub_category_id=0&int_catalog_id=0,
Dabney S. Lancaster,8,Certificate,Pharmacy Technician (WCG),20 sessions,," 1,497.0 ",1,,60 hour,,,https://dslcc.augusoft.net/index.cfm?method=ClassInfo.ClassInformation&int_class_id=1850&int_category_id=0&int_sub_category_id=0&int_catalog_id=0,
Danville,3,AAS,Associate of Applied Science Nursing,66,157," 10,362.0 ",2,,,"City of Danville, Pittsylvania County, and Halifax County",,https://www.danville.edu/program/nursing,
Danville,3,Career Studies Certificate,Nurse Aide Extended Care,16,157," 2,512.0 ",1,,10 weeks,,,https://www.danville.edu/program/nurse-aide-extended-care,
Danville,3,Career Studies Certificate,Emergency Medical Services,9,157," 1,413.0 ",1,,,,,https://www.danville.edu/program/emergency-medical-services,
Danville,3,Career Studies Certificate,Phlebotomy Technician,16,157," 2,512.0 ",1,,,,,https://www.danville.edu/program/phlebotomy,
Danville,3,Career Studies Certificate,Pharmacy Technician,25,157," 3,925.0 ",1,,,,,https://www.danville.edu/program/pharmacy-technician,
Danville,3,Career Studies Certificate,Pre-Allied Health Advanced Nurse Aide,29,157," 4,553.0 ",1,,,,,https://www.danville.edu/program/pre-allied-health-advanced-nurse-aide,
Germanna,9,AAS,Associate in Applied Science,67,163.75," 10,971.3 ",2,not clear,,Orange,,https://www.germanna.edu/nursing/,
Germanna,9,Certificate,Practical Nursing,40,163.75," 6,550.0 ",1,,,,,https://catalog.germanna.edu/preview_program.php?catoid=5&poid=277&returnto=126,
Germanna,9,Career Studies Certificate,Healthcare Technician,17,164.75," 2,800.8 ",1,,,,,https://catalog.germanna.edu/preview_program.php?catoid=5&poid=279&returnto=126,
Germanna,9,Career Studies Certificate,Surgical Scrub Nursing,16,165.75," 2,652.0 ",1,,,,,,
Germanna,9,Career Studies Certificate,Pharmacy Technician,17,166.75," 2,834.8 ",1,,,,,,
