GEOID,NAME,earnings_med,earnings_lesshs,earnings_hs,earnings_assoc,earnings_bach,earnings_grad
51185,"Tazewell County, Virginia",31909,20761,27796,30902,39558,55368
51610,"Falls Church city, Virginia",80417,NA,29688,41375,74318,105290
51685,"Manassas Park city, Virginia",47269,25563,35383,50767,76162,63816
51735,"Poquoson city, Virginia",58032,47396,36250,47283,63503,84750
51183,"Sussex County, Virginia",21744,9099,22410,30255,30385,49219
51820,"Waynesboro city, Virginia",35453,22473,27828,36220,42290,53761
51770,"Roanoke city, Virginia",32232,18229,26940,31645,43701,61036
51775,"Salem city, Virginia",40431,22982,31985,37240,56416,59688
51710,"Norfolk city, Virginia",34482,21814,28007,31528,46189,63443
51037,"Charlotte County, Virginia",27949,25069,22718,29466,40773,55417
51059,"Fairfax County, Virginia",63997,26106,31534,43744,74486,105747
51081,"Greensville County, Virginia",25131,19274,21012,30183,37031,57500
51095,"James City County, Virginia",42239,21871,28077,36832,48663,75932
51167,"Russell County, Virginia",35113,24375,26157,35288,48343,47250
51173,"Smyth County, Virginia",29787,20893,25201,29240,41214,58164
51678,"Lexington city, Virginia",34918,NA,14321,36948,28426,69911
51031,"Campbell County, Virginia",35432,27098,28430,34969,42291,54384
51089,"Henry County, Virginia",29563,22746,23695,30808,41707,52963
51099,"King George County, Virginia",50872,NA,35218,44481,70095,87283
51103,"Lancaster County, Virginia",31561,25500,26845,30386,46196,61250
51105,"Lee County, Virginia",25874,18264,19041,26669,42568,50795
51115,"Mathews County, Virginia",42008,26552,28594,39250,63720,61250
51119,"Middlesex County, Virginia",36292,35606,30708,36081,57037,48000
51149,"Prince George County, Virginia",40185,18929,29856,40530,52045,55490
51165,"Rockingham County, Virginia",36720,30931,31364,36038,45733,58208
51169,"Scott County, Virginia",31001,24063,23604,30430,42216,55500
51181,"Surry County, Virginia",40280,18906,40380,42470,42101,38984
51011,"Appomattox County, Virginia",36494,21767,26981,41897,49583,47929
51067,"Franklin County, Virginia",35327,20576,29165,34109,53025,55909
51097,"King and Queen County, Virginia",37191,15625,37461,27051,60217,NA
51121,"Montgomery County, Virginia",40879,23903,29990,34179,42641,60664
51127,"New Kent County, Virginia",48006,26432,42813,43806,60194,62833
51049,"Cumberland County, Virginia",31125,28721,27618,32576,44577,45956
51075,"Goochland County, Virginia",45687,22985,35236,36510,64187,82563
51083,"Halifax County, Virginia",33713,20392,31441,32093,45315,51458
51113,"Madison County, Virginia",31980,17395,25683,39429,48843,49769
51153,"Prince William County, Virginia",52944,29655,36687,45520,68062,94807
51175,"Southampton County, Virginia",34769,14977,24989,37833,44809,45947
51091,"Highland County, Virginia",29932,23854,29167,30337,NA,48281
51025,"Brunswick County, Virginia",28936,22961,25108,26471,32088,50304
51033,"Caroline County, Virginia",39650,26768,36280,40924,47272,52004
51073,"Gloucester County, Virginia",42760,31663,38820,44598,53157,62961
51131,"Northampton County, Virginia",31485,23026,30009,31749,37073,59813
51141,"Patrick County, Virginia",29957,24518,25069,30000,43232,51443
51145,"Powhatan County, Virginia",49585,40000,39257,43866,64167,82535
51163,"Rockbridge County, Virginia",32430,20536,29214,32643,37567,68415
51171,"Shenandoah County, Virginia",35179,24988,31679,34028,44036,57500
51061,"Fauquier County, Virginia",52722,28715,41527,50544,72007,77177
51036,"Charles City County, Virginia",38892,26641,36531,40142,50577,72955
51047,"Culpeper County, Virginia",42313,22013,34136,42823,58454,58750
51053,"Dinwiddie County, Virginia",36301,16451,32169,38714,48347,49028
51079,"Greene County, Virginia",39209,13080,35040,35338,50781,58149
51085,"Hanover County, Virginia",51545,28383,36982,46999,61997,69970
51111,"Lunenburg County, Virginia",32139,34417,28896,33284,35556,53906
51137,"Orange County, Virginia",40624,19813,36491,38695,51383,72230
51595,"Emporia city, Virginia",28557,20769,27365,24761,36279,53000
51197,"Wythe County, Virginia",32204,26484,27258,31934,43112,49511
51550,"Chesapeake city, Virginia",44158,22037,32391,41210,54111,72064
51660,"Harrisonburg city, Virginia",31568,25254,25323,28629,40080,53233
51003,"Albemarle County, Virginia",45865,24160,29022,37309,52183,69446
51019,"Bedford County, Virginia",39489,27329,31624,37008,50094,62019
51023,"Botetourt County, Virginia",41775,24414,32188,40905,57720,56000
51195,"Wise County, Virginia",31829,20925,27088,30707,40265,66912
51520,"Bristol city, Virginia",27382,12007,18094,27252,43400,53361
51740,"Portsmouth city, Virginia",34382,22813,30216,33064,41514,58408
51830,"Williamsburg city, Virginia",36798,30991,27604,25625,37180,63542
51005,"Alleghany County, Virginia",35260,18962,31498,36510,43563,58835
51035,"Carroll County, Virginia",31196,27820,29015,33579,38103,39464
51191,"Washington County, Virginia",32858,22047,25828,32310,43513,56020
51133,"Northumberland County, Virginia",31728,29167,28694,30388,54315,51094
51139,"Page County, Virginia",31975,24881,29381,33109,49091,59375
51187,"Warren County, Virginia",43118,31053,35305,44137,60187,62780
51510,"Alexandria city, Virginia",62582,22365,27286,40136,73426,94990
51630,"Fredericksburg city, Virginia",44648,27448,34387,36259,56213,83444
51650,"Hampton city, Virginia",37262,24218,28439,35491,47696,56629
51013,"Arlington County, Virginia",76895,25694,30492,44229,78536,101906
51670,"Hopewell city, Virginia",30717,23319,26258,35218,37460,61597
51027,"Buchanan County, Virginia",31433,22400,29419,30134,47083,64000
51069,"Frederick County, Virginia",43348,29944,35385,41373,56367,65186
51179,"Stafford County, Virginia",57312,29392,39062,47444,75064,103362
51199,"York County, Virginia",50792,21159,39776,39423,56412,84105
51760,"Richmond city, Virginia",34440,20371,24511,27788,45728,58896
51125,"Nelson County, Virginia",32118,20704,26647,32213,43359,59896
51143,"Pittsylvania County, Virginia",30890,21919,29781,30474,40758,46146
51720,"Norton city, Virginia",27500,19667,24286,24875,37981,NA
51065,"Fluvanna County, Virginia",43652,22169,36519,41963,56616,61932
51007,"Amelia County, Virginia",41650,31833,34307,46088,48211,93393
51840,"Winchester city, Virginia",33049,15696,28759,36209,44531,60547
51001,"Accomack County, Virginia",30298,19750,26044,36444,42266,52305
