program,wagemedian,wagepc,debtmedian,debtpc,years,college
Sign Language Interpretation and Translation,43275,0.47,,,3,Northern Virginia Community College
"Engineering Technology, General",55228,0.43,,,3,Northern Virginia Community College
"Construction Trades, General",73185,0.30,,,3,Northern Virginia Community College
"Visual and Performing Arts, General",20188,0.35,5564,0.16,3,Northern Virginia Community College
Clinical/Medical Laboratory Technician,48399,0.54,10448,0.37,3,Northern Virginia Community College
"Visual and Performing Arts, Other",23343,0.42,16413,0.22,3,Northern Virginia Community College
Health Information/Medical Records Technology/Technician,44298,0.61,7862,0.38,3,Northern Virginia Community College
Respiratory Care Therapy/Therapist,57897,0.56,14466,0.48,3,Northern Virginia Community College
Architectural Technology/Technician,43092,0.33,7588,0.23,3,Northern Virginia Community College
"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician",68022,0.59,12010,0.2,3,Northern Virginia Community College
"Hospitality Administration/Management, General",38678,0.39,11407,0.18,3,Northern Virginia Community College
Emergency Medical Technology/Technician (EMT Paramedic),74438,0.50,13023,0.13,3,Northern Virginia Community College
"Design and Visual Communications, General",42888,0.37,10384,0.14,3,Northern Virginia Community College
Physical Therapy Technician/Assistant,47923,0.60,19100,0.35,3,Northern Virginia Community College
Automobile/Automotive Mechanics Technology/Technician,44522,0.52,9454,0.19,3,Northern Virginia Community College
Child Care Provider/Assistant,32066,0.49,11477,0.18,3,Northern Virginia Community College
"Accounting and Related Services, Other",46814,0.41,10921,0.18,3,Northern Virginia Community College
Radiologic Technology/Science - Radiographer,61911,0.68,16667,0.38,3,Northern Virginia Community College
Legal Assistant/Paralegal,47499,0.36,14156,0.27,3,Northern Virginia Community College
Veterinary/Animal Health Technology/Technician and Veterinary Assistant,38183,0.64,9470,0.26,3,Northern Virginia Community College
Dental Hygiene/Hygienist,67788,0.71,17893,0.61,3,Northern Virginia Community College
"Computer and Information Sciences, General",65910,0.52,10596,0.21,3,Northern Virginia Community College
"Business Administration, Management and Operations, Other",45899,0.39,10448,0.17,3,Northern Virginia Community College
Criminal Justice/Law Enforcement Administration,41483,0.54,9766,0.22,3,Northern Virginia Community College
Registered Nursing/Registered Nurse,63749,0.54,18642,0.24,3,Northern Virginia Community College
Fire Science/Fire-fighting,73366,0.59,,,1.5,Northern Virginia Community College
Diagnostic Medical Sonography/Sonographer and Ultrasound Technician,63947,0.76,15999,0.62,1.5,Northern Virginia Community College
"Engineering Technology, General",44608,0.32,17214,0.37,1.5,Northern Virginia Community College
"Construction Trades, General",64500,0.47,15832,0.29,1.5,Northern Virginia Community College
Health Information/Medical Records Technology/Technician,33503,0.58,12464,0.4,1.5,Northern Virginia Community College
Photography,30669,0.32,16854,0.25,1.5,Northern Virginia Community College
Clinical/Medical Laboratory Technician,48374,0.62,18860,0.53,1.5,Northern Virginia Community College
